State,Candidate filing deadlines,Statute
Alabama, Jan. 23, 2026, by 5 p.m.",Ala. Code § 17-13-5
Alaska,June 1, 2026, by 5 p.m.",Alaska Stat. § 15.25.040
Arizona,April 6, 2026, by 5 p.m.",Ariz. Rev. Stat. Ann. § 16-311
Arkansas, Nov. 11, 2025, by 12 p.m.",Ark. Stat. Ann. § 7-7-203
California, March 6, 2026, by 5 p.m.",Cal. Elect. Code § 8020
Colorado,March 18, 2026, by COB",Colo. Rev. Stat. § 1-4-801
Connecticut,June 9, 2026, by 4 p.m.",Conn. Gen. Stat. § 9-400
Delaware,July 14, 2026","Del. Code Ann. tit. 15, § 3101"
Florida,"April 24, 2026, for federal and state attorney office /June 12, 2026, for state office",Fla. Stat. § 99.061
Georgia,March 6, 2026, by 12:00 p.m.",Ga. Code § 21-2-153
Hawaii,"Open: Feb. 2, 2026 
Close: June 2, 2026, by 4:30 p.m.","Hawaii Rev. Stat. §§ 12-2.5, 12-6"
Idaho,"Open: Feb. 23, 2026, at 8 a.m. 
Close: Feb. 27, 2026, by 5 p.m.",Idaho Code § 34-704
Illinois,"Open: Oct. 27, 2025 
Close: Nov. 3, 2025","Ill. Rev. Stat. ch. 10, § 5/8-9"
Indiana,"Open: Jan. 7, 2026 
Close: Feb. 6, 2026",Ind. Code § 3-8-2-4
Iowa,"Open: Feb. 23, 2026 
Close: March 13, 2026",Iowa Code § 43.11
Kansas,June 1, 2026, by 12 p.m.",Kan. Stat. Ann. § 25-205
Kentucky,"Open: Nov. 5, 2025 
Close: Jan. 9, 2026, by 4 p.m.",Ky. Rev. Stat. § 118.165
Louisiana,"Open: Feb. 11, 2026, for congressional office 
Close: Feb. 13, 2026, by 4:30 p.m. for congressional office","La. Rev. Stat. Ann. §§ 18:467, 18:468"
Maine,March 15, 2026, by 5 p.m.","Me. Rev. Stat. Ann. tit. 21-A, § 335"
Maryland,Feb. 24, 2026, by 9 p.m.",Md. Elect. Code Ann. § 5-303
Massachusetts,May 26, 2026, for state legislature/June 2, 2026, for federal and statewide","Mass. Gen. Laws Ann. ch. 53, § 48"
Michigan,April 21, 2026, by 4 p.m.",Mich. Comp. Laws § 168.551
Minnesota,"Open: May 19, 2026 
Close: June 2, 2026, at 5 p.m.",Minn. Stat. § 204B.09
Mississippi,"Open: Dec. 1, 2025, for congressional office 
Close: Dec. 26, 2025, for congressional office",Miss. Code Ann. § 23-15-299
Missouri,"Open: Feb. 24, 2026, at 8 a.m. 
Close: March 31, 2026, by 5 p.m.",Mo. Rev. Stat. § 115.349
Montana,"Open: Feb. 17, 2026 
Close: March 4, 2026, by 5 p.m.",Mont. Code Ann. § 13-10-201
Nebraska,"Open: Jan. 5, 2026 
Close: March 1, 2026",Neb. Rev. Stat. § 32-606
Nevada,"Open: March 2, 2026 
Close: March 13, 2026, by 5 p.m.",Nev. Rev. Stat. § 293.177
New Hampshire,"Open: June 3, 2026 
Close: June 12, 2026",N.H. Rev. Stat. Ann. § 655:14
New Jersey,March 23, 2026, by 4 p.m.",N.J. Rev. Stat. § 19:23-14
New Mexico,"Open: Feb. 3, 2026, at 9 a.m. for statewide and congressional office/March 10, 2026, at 9 a.m. for all other offices 
Close: Feb. 3, 2026, by 5 p.m. for statewide and congressional office / March 10, 2026, by 5 p.m. for all other offices",N.M. Stat. Ann. § 1-8-26
New York,"Open: March 30, 2026 
Close: April 6, 2026",N.Y. Elec. Law § 6-158
North Carolina,"Open: Dec. 1, 2025, at 12 p.m. 
Close: Dec. 19, 2025, by 12 p.m.",N.C. Gen. Stat. § 163-106.2
North Dakota,"Open: Jan. 2, 2026 
Close: April 6, 2026, by 4 p.m.",N.D. Cent. Code § 16.1-12-04
Ohio,Feb. 4, 2026, by 4 p.m.",Ohio Rev. Code Ann. § 3513.05
Oklahoma,"Open: April 1, 2026, at 8 a.m. 
Close: April 3, 2026, by 5 p.m.","Okla. Stat. tit. 26, § 5-110"
Oregon,"Open: Sept. 11, 2025 
Close: March 10, 2026",Or. Rev. Stat. § 249.037
Pennsylvania,"Open: Feb. 17, 2026 
Close: March 10, 2026, by 5 p.m.","Pa. Stat. tit. 25, § 2873"
Rhode Island,"Open: June 22, 2026 
Close: June 24, 2026, by 4 p.m.",R.I. Gen. Laws § 17-14-1
South Carolina,"Open: March 16, 2026, at 12 p.m. 
Close: March 30, 2026, by 12 p.m.",S.C. Code Ann. § 7-11-15
South Dakota,"Open: Jan. 1, 2026 
Close: March 31, 2026, by 5 p.m.",S.D. Codified Laws Ann. § 12-6-4
Tennessee,"Open: Jan. 9, 2026 
Close: March 10, 2026, by 12 p.m.",Tenn. Code Ann. § 2-5-101
Texas,"Open: Nov. 8, 2025 
Close: Dec. 8, 2025, by 6 p.m.",Tex. Elect. Code Ann. § 172.023
Utah,"Open: Jan. 2, 2026, by 8 a.m. for most offices / March 9, 2026, at 8 a.m. for U.S. House of Representatives 
Close: Jan. 9, 2026, by 5 p.m. for most offices / March 13, 2026, by 5 p.m. for U.S. House of Representatives",Utah Code Ann. § 20A-9-201.5
Vermont,"Open: April 27, 2026 
Close: May 28, 2026, by 5 p.m.","Vt. Stat. Ann. tit. 17, § 2356"
Virginia,"Open: March 16, 2026, at 12 p.m. 
Close: April 2, 2026, by 5 p.m.","Va. Code §§ 24.2-503, 24.2-522, 24.2-524"
Washington,"Open: May 4, 2026, at 8 a.m. 
Close: May 8, 2026, by 5 p.m.",Wash. Rev. Code 29A.24.050
West Virginia,"Open: Jan. 12, 2026 
Close: Jan. 31, 2026, by 11:59 p.m.",W. Va. Code § 3-5-7
Wisconsin,"Open: April 15, 2026 
Close: June 1, 2026, by 5 p.m.",Wis. Stat. § 8.15
Wyoming,"Open: May 14, 2026 
Close: May 29, 2026",Wyo. Stat. § 22-5-209