State,Primary Date,Runoff Date,Statute/Notes
Alabama,05/19/2026,06/16/2026,Ala. Code § 17-13-3
Alaska,08/18/2026,,Alaska Stat. § 15.25.020
Arizona,08/04/2026,,Ariz. Rev. Stat. Ann. § 16-201
Arkansas,03/03/2026,03/31/2026,Ark. Stat. Ann. § 7-7-203
California,06/02/2026,,Cal. Elec. Code § 1201
Colorado,06/30/2026,,Colo. Rev. Stat. § 1-4-101
Connecticut,08/11/2026,,Conn. Gen. Stat. § 9-423
Delaware,09/15/2026,,"Del. Code Ann. tit. 15, § 3101"
Florida,08/18/2026,,Fla. Stat. § 100.061
Georgia,05/19/2026,06/16/2026,"Ga. Code §§ 21-2-150, 2-2-501(a)"
Hawaii,08/08/2026,,Hawaii Rev. Stat. § 12-2
Idaho,05/19/2026,,Idaho Code § 34-601
Illinois,03/17/2026,,"Ill. Rev. Stat. ch. 10, § 5/2A-1.1"
Indiana,05/05/2026,,Ind. Code § 3-10-1-3
Iowa,06/02/2026,,Iowa Code § 43.7
Kansas,08/04/2026,,Kan. Stat. Ann. § 25-203
Kentucky,05/19/2026,,"Ky. Rev. Stat. § 118.025
Kentucky holds elections for statewide offices in odd-numbered years."
Louisiana,05/16/2026,06/27/2026,"La. Rev. Stat. Ann. §§ 18:402, 18:410.10, 18:419.2
These dates apply only to the 2026 congressional primary. Louisiana holds elections for state legislators and statewide offices in odd-numbered years."
Maine,06/09/2026,,"Me. Rev. Stat. Ann. tit. 21-A, § 339"
Maryland,06/23/2026,,Md. Elect. Code Ann. § 8-201
Massachusetts,09/01/2026,,"Mass. Gen. Laws Ann. ch. 53, § 28"
Michigan,08/04/2026,,Mich. Comp. Laws § 168.534
Minnesota,08/11/2026,,Minn. Stat. § 204D.03
Mississippi,03/10/2026,04/07/2026,"Miss. Code Ann. § 23-15-1031
These dates apply only to the 2026 congressional primary. Mississippi holds elections for state legislators and statewide offices in odd-numbered years."
Missouri,08/04/2026,,Mo. Rev. Stat. § 115.341
Montana,06/02/2026,,Mont. Code Ann. § 13-1-107
Nebraska,05/12/2026,,Neb. Rev. Stat. § 32-401
Nevada,06/09/2026,,Nev. Rev. Stat. § 293.175
New Hampshire,09/08/2026,,N.H. Rev. Stat. Ann. § 653:8
New Jersey,06/02/2026,,"N.J. Rev. Stat. § 19:23-40
These dates apply only to the 2026 congressional primary. New Jersey holds elections for state legislators and statewide offices in numbered odd years."
New Mexico,06/02/2026,,N.M. Stat. Ann. § 1-8-11
New York,06/23/2026,,N.Y. Elect. Law § 8-100
North Carolina,03/03/2026,05/12/2026,"N.C. Gen. Stat. §§ 163-1, 163-11"
North Dakota,06/09/2026,,N.D. Cent. Code § 16.1-11-01
Ohio,05/05/2026,,Ohio Rev. Code Ann. § 3501.01
Oklahoma,06/16/2026,8/25/2026,"Okla. Stat. tit. 26, §§ 1-102, 1-103"
Oregon,05/19/2026,,Or. Rev. Stat. § 254.056
Pennsylvania,05/19/2026,,"Pa. Stat. tit. 25, § 2753"
Rhode Island,09/08/2026,,R.I. Gen. Laws § 17-15-1
South Carolina,06/09/2026,06/23/2026,"S.C. Code Ann. §§ 7-13-15, 7-13-50"
South Dakota,06/02/2026,07/28/2026,"S.D. Codified Laws Ann. §§ 12-2-1, 12-6-51.1"
Tennessee,08/06/2026,,"Tenn. Code Ann. §§ 2-1-104, 2-13-202"
Texas,03/03/2026,05/26/2026,Tex. Elect. Code Ann. § 41.007
Utah,06/23/2026,,Utah Code Ann. § 20A-1-201.5
Vermont,08/11/2026,,"Vt. Stat. Ann. tit. 17, § 2351"
Virginia,06/16/2026,,"Va. Code § 24.2-510
These dates apply only to the 2026 congressional primary. Virginia holds elections for state legislators and statewide offices in odd-numbered years."
Washington,08/04/2026,,Wash. Rev. Code § 29A.04.311
West Virginia,05/12/2026,,W. Va. Code § 3-5-1
Wisconsin,08/11/2026,,Wis. Stat. § 5.02
Wyoming,08/18/2026,,Wyo. Stat. § 22-2-104