State,Senate Term,Total Senate Seats,Senate Seats up in 2026,House Term,Total House Seats,House Seats up in 2026
Alabama,4 year,35,35,4 year,105,105
Alaska,4 year,20,10,2 year,40,40
Arizona,2 year,30,30,2 year,60,60
Arkansas,4 year,35,17,2 year,100,100
California,4 year,40,20,2 year,80,80
Colorado,4 year,35,17,2 year,65,65
Connecticut,2 year,36,36,2 year,151,151
Delaware,4 year,21,11,2 year,41,41
Florida,4 year,40,20,2 year,120,120
Georgia,2 year,56,56,2 year,180,180
Hawaii,4 year,25,13,2 year,51,51
Idaho,2 year,35,35,2 year,70,70
Illinois,4 year,59,39,2 year,118,118
Indiana,4 year,50,25,2 year,100,100
Iowa,4 year,50,25,2 year,100,100
Kansas,4 year,40,0,2 year,125,125
Kentucky,4 year,38,19,2 year,100,100
Louisiana,4 year,39,0,4 year,105,0
Maine,2 year,35,35,2 year,151,151
Maryland,4 year,47,47,4 year,141,141
Massachusetts,2 year,40,40,2 year,160,160
Michigan,4 year,38,38,2 year,110,110
Minnesota,4 year,67,67,2 year,134,134
Mississippi,4 year,52,0,4 year,122,0
Missouri,4 year,34,17,2 year,163,163
Montana,4 year,50,25,2 year,100,100
Nebraska,4 year,49,24,N/A,Unicameral,N/A
Nevada,4 year,21,11,2 year,42,42
New Hampshire,2 year,24,24,2 year,400,400
New Jersey,4 year,40,0,2 year,80,0
New Mexico,4 year,42,0,2 year,70,70
New York,2 year,63,63,2 year,150,150
North Carolina,2 year,50,50,2 year,120,120
North Dakota,4 year,47,24,4 year,94,48
Ohio,4 year,33,17,2 year,99,99
Oklahoma,4 year,48,24,2 year,101,101
Oregon,4 year,30,15,2 year,60,60
Pennsylvania,4 year,50,25,2 year,203,203
Rhode Island,2 year,38,38,2 year,75,75
South Carolina,4 year,46,0,2 year,124,124
South Dakota,2 year,35,35,2 year,70,70
Tennessee,4 year,33,17,2 year,99,99
Texas,4 year,31,16,2 year,150,150
Utah,4 year,29,15,2 year,75,75
Vermont,2 year,30,30,2 year,150,150
Virginia,4 year,40,0,2 year,100,0
Washington,4 year,49,24,2 year,98,98
West Virginia,4 year,34,17,2 year,100,100
Wisconsin,4 year,33,17,2 year,99,99
Wyoming,4 year,31,16,2 year,62,62
Totals,,1973,1162,,5413,4960